user_id,idade,matches_realizados,taxa_resposta,tenis_marca,tenis_estilo,tenis_cores,relacionamentos_formados
1,27,11,0.7445716205345744,Adidas,Basquete,Vermelho,0
2,24,17,0.3625435862380896,Nike,Corrida,Branco,0
3,28,7,0.26724749896547684,Asics,Corrida,Vermelho,0
4,32,17,0.16775067350024547,Adidas,Corrida,Vermelho,0
5,23,13,0.4733544967075267,Adidas,Tênis,Azul,1
6,23,15,0.4857056791358735,Asics,Casual,Azul,0
7,32,14,0.7727269683223258,Puma,Corrida,Preto,0
8,28,15,0.2769909571568512,Asics,Tênis,Branco,0
9,22,8,0.40479301893472,Puma,Corrida,Preto,0
10,27,12,0.7467245911149528,Adidas,Basquete,Branco,1
11,22,20,0.7588988885991789,Adidas,Tênis,Azul,0
12,22,11,0.4076888607830146,Adidas,Corrida,Azul,0
13,26,17,0.46729921862934476,Nike,Tênis,Branco,0
14,15,16,0.34262871267942635,Nike,Corrida,Branco,1
15,16,11,0.8460439027354497,Nike,Casual,Azul,0
16,22,8,0.19491501259326427,Asics,Corrida,Azul,0
17,19,12,0.846999538401176,Adidas,Tênis,Preto,0
18,26,20,0.6470931614682746,Adidas,Basquete,Azul,0
19,20,18,0.5252577221493849,Asics,Basquete,Branco,0
20,17,13,0.12612724862759672,Nike,Basquete,Preto,0
21,32,20,0.48047695345760666,Asics,Corrida,Branco,0
22,23,14,0.42619848400218585,Nike,Casual,Vermelho,1
23,25,15,0.22897504958009807,Adidas,Corrida,Preto,0
24,17,21,0.6251276828005256,Puma,Basquete,Branco,0
25,22,12,0.8769207258946287,Nike,Tênis,Azul,0
26,25,21,0.5497510488516201,Adidas,Basquete,Vermelho,1
27,19,16,0.6718026211551567,Adidas,Tênis,Branco,0
28,26,18,0.15476036205281343,Puma,Casual,Preto,1
29,21,11,0.43413359665359585,Adidas,Tênis,Branco,0
30,23,27,0.19308678813159671,Adidas,Corrida,Vermelho,0
31,21,20,0.5902366684292083,Nike,Corrida,Preto,0
32,34,12,0.8507857265713237,Nike,Corrida,Vermelho,0
33,24,14,0.6294221859773108,Puma,Tênis,Branco,1
34,19,13,0.16144243865153723,Puma,Corrida,Azul,1
35,29,10,0.38373296398806633,Adidas,Corrida,Azul,0
36,18,26,0.5405307035526813,Nike,Corrida,Branco,0
37,26,17,0.4225662049066018,Puma,Casual,Branco,1
38,15,18,0.7669152083801379,Puma,Tênis,Branco,0
39,18,26,0.7517368037679913,Asics,Tênis,Preto,0
40,25,12,0.5894648160825772,Puma,Basquete,Vermelho,0
41,28,11,0.3987663561061642,Adidas,Tênis,Vermelho,0
42,25,13,0.3042690990105953,Nike,Casual,Vermelho,0
43,24,14,0.18469945457050346,Puma,Tênis,Branco,0
44,23,16,0.3839181467892433,Asics,Casual,Vermelho,0
45,17,11,0.4305380137661756,Nike,Casual,Branco,0
46,21,17,0.6406583400832588,Puma,Tênis,Preto,0
47,22,16,0.6265278594380588,Asics,Basquete,Azul,0
48,30,11,0.15608651171300558,Puma,Corrida,Branco,1
49,26,12,0.4162074523449263,Nike,Corrida,Branco,0
50,16,5,0.24542309377388954,Nike,Tênis,Azul,0
51,26,14,0.22545016425344455,Nike,Tênis,Azul,1
52,23,13,0.7618417197897968,Adidas,Casual,Preto,1
53,21,5,0.13353217337300605,Puma,Tênis,Vermelho,0
54,28,14,0.4353463007216971,Adidas,Casual,Branco,0
55,30,15,0.23456292461321457,Nike,Basquete,Vermelho,1
56,29,10,0.8034641725427792,Asics,Tênis,Branco,1
57,20,13,0.5456324106200281,Puma,Corrida,Preto,1
58,23,11,0.28510450910147844,Adidas,Corrida,Azul,1
59,26,26,0.5019418297331012,Puma,Tênis,Preto,0
60,29,17,0.6851890877624927,Asics,Casual,Azul,0
61,22,20,0.866494407135547,Adidas,Corrida,Vermelho,0
62,24,17,0.27635680339633517,Nike,Casual,Vermelho,0
63,19,23,0.8089454177034762,Adidas,Tênis,Preto,0
64,19,15,0.8474432913339922,Puma,Tênis,Azul,0
65,29,20,0.833136435625653,Puma,Corrida,Preto,0
66,31,17,0.6083314854895279,Puma,Tênis,Azul,1
67,24,11,0.6038565235477662,Puma,Basquete,Azul,0
68,30,14,0.42256850654705824,Nike,Basquete,Vermelho,0
69,26,9,0.7019183058430304,Adidas,Corrida,Vermelho,0
70,21,16,0.5250352146807455,Nike,Basquete,Azul,0
71,26,20,0.6419504569826355,Nike,Casual,Azul,1
72,32,13,0.4427663230790364,Nike,Corrida,Azul,0
73,24,19,0.6851971712345113,Puma,Corrida,Vermelho,1
74,32,19,0.7595772140836393,Puma,Casual,Vermelho,0
75,11,15,0.2171490052822529,Puma,Basquete,Branco,0
76,29,13,0.7663437724593825,Adidas,Basquete,Azul,0
77,25,14,0.5322372254322458,Asics,Basquete,Branco,0
78,23,14,0.7757327272721795,Puma,Corrida,Azul,1
79,25,12,0.44504136507281167,Adidas,Corrida,Vermelho,0
80,15,12,0.40323238830642805,Puma,Basquete,Branco,1
81,23,16,0.832048586013778,Puma,Tênis,Branco,0
82,26,16,0.30093541403872104,Nike,Basquete,Preto,1
83,32,14,0.7753698602289145,Nike,Casual,Azul,0
84,22,15,0.48721645800752333,Nike,Corrida,Vermelho,1
85,20,14,0.5112763540410078,Adidas,Casual,Preto,0
86,22,16,0.3467746251915872,Asics,Casual,Preto,0
87,29,16,0.5584337604952125,Asics,Corrida,Azul,0
88,26,19,0.36016895702096907,Adidas,Tênis,Preto,1
89,22,24,0.13141553139332185,Puma,Basquete,Azul,0
90,27,11,0.3175988842754849,Adidas,Casual,Preto,0
91,25,13,0.10510323472527255,Puma,Corrida,Azul,1
92,29,15,0.8826838296454853,Adidas,Casual,Vermelho,0
93,21,12,0.872597767855798,Adidas,Basquete,Azul,0
